SoftwareName;FileName;FQNClass;ClassType;ClassDeclarationKeyword;MethodDeclarationKeyword;ExecutesCommand;AddCommandMethod;HasSuperclass;ImplementsInterfaces;IsPartOfExecute;Role
6JHotDraw;CH\ifa\draw\framework\FigureEnumeration.java;FigureEnumeration.java;3;1;1;1;1;1;2;2;5
6JHotDraw;CH\ifa\draw\applet\DrawApplet.java;DrawApplet.java;1;1;1;1;2;2;2;2;4
6JHotDraw;CH\ifa\draw\application\DrawApplication.java;DrawApplication.java;1;1;1;1;2;2;2;2;4
6JHotDraw;CH\ifa\draw\samples\javadraw\JavaDrawApp.java;JavaDrawApp.java;1;1;1;1;2;2;1;2;4
6JHotDraw;CH\ifa\draw\standard\StandardDrawingView.java;StandardDrawingView.java;1;1;1;2;1;2;2;2;3
6JHotDraw;CH\ifa\draw\framework\FigureSelection.java;FigureSelection.java;1;1;1;1;1;2;1;2;3
6JHotDraw;CH\ifa\draw\samples\javadraw\JavaDrawApplet.java;JavaDrawApplet.java;1;1;1;1;1;2;1;2;3
6JHotDraw;CH\ifa\draw\samples\javadraw\URLTool.java;URLTool.java;1;1;1;1;1;2;1;2;3
6JHotDraw;CH\ifa\draw\standard\AbstractTool.java;AbstractTool.java;1;1;1;1;1;2;2;2;3
6JHotDraw;CH\ifa\draw\standard\CompositeFigure.java;CompositeFigure.java;2;1;1;1;1;2;2;2;3
6JHotDraw;CH\ifa\draw\util\Clipboard.java;Clipboard.java;1;1;1;1;1;2;1;2;3
6JHotDraw;CH\ifa\draw\util\FloatingTextField.java;FloatingTextField.java;1;1;1;1;1;2;1;2;3
6JHotDraw;CH\ifa\draw\util\Iconkit.java;Iconkit.java;1;1;1;1;1;2;1;2;3
6JHotDraw;CH\ifa\draw\applet\SleeperThread.java;SleeperThread.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\ChopPolygonConnector.java;ChopPolygonConnector.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\DiamondFigure.java;DiamondFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\PolygonFigure.java;PolygonFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\PolygonHandle.java;PolygonHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\PolygonScaleHandle.java;PolygonScaleHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\PolygonTool.java;PolygonTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\TriangleFigure.java;TriangleFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\contrib\TriangleRotationHandle.java;TriangleRotationHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ArrowTip.java;ArrowTip.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\figures\AttributeFigure.java;AttributeFigure.java;2;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\BorderDecorator.java;BorderDecorator.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\BorderTool.java;BorderTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ChopEllipseConnector.java;ChopEllipseConnector.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ConnectedTextTool.java;ConnectedTextTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ElbowConnection.java;ElbowConnection.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ElbowHandle.java;ElbowHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ElbowTextLocator.java;ElbowTextLocator.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\EllipseFigure.java;EllipseFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\FigureAttributes.java;FigureAttributes.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\figures\FontSizeHandle.java;FontSizeHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\GroupFigure.java;GroupFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\GroupHandle.java;GroupHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ImageFigure.java;ImageFigure.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\figures\LineConnection.java;LineConnection.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\figures\LineDecoration.java;LineDecoration.java;3;1;1;1;1;1;2;1;5
6JHotDraw;CH\ifa\draw\figures\LineFigure.java;LineFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\NumberTextFigure.java;NumberTextFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\PolyLineConnector.java;PolyLineConnector.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\PolyLineFigure.java;PolyLineFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\PolyLineHandle.java;PolyLineHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\PolyLineLocator.java;PolyLineLocator.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\RadiusHandle.java;RadiusHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\RectangleFigure.java;RectangleFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\RoundRectangleFigure.java;RoundRectangleFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ScribbleTool.java;ScribbleTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\ShortestDistanceConnector.java;ShortestDistanceConnector.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\figures\TextFigure.java;TextFigure.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\figures\TextTool.java;TextTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\framework\ConnectionFigure.java;ConnectionFigure.java;3;1;1;1;1;1;2;1;5
6JHotDraw;CH\ifa\draw\framework\Connector.java;Connector.java;3;1;1;1;1;1;2;1;5
6JHotDraw;CH\ifa\draw\framework\DrawingChangeEvent.java;DrawingChangeEvent.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\framework\DrawingChangeListener.java;DrawingChangeListener.java;3;1;1;1;1;1;2;1;5
6JHotDraw;CH\ifa\draw\framework\DrawingEditor.java;DrawingEditor.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\framework\FigureChangeEvent.java;FigureChangeEvent.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\framework\FigureChangeListener.java;FigureChangeListener.java;3;1;1;1;1;1;2;1;5
6JHotDraw;CH\ifa\draw\framework\Handle.java;Handle.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\framework\HJDError.java;HJDError.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\framework\Locator.java;Locator.java;3;1;1;1;1;1;2;1;5
6JHotDraw;CH\ifa\draw\framework\Painter.java;Painter.java;3;1;1;1;1;1;2;1;5
6JHotDraw;CH\ifa\draw\framework\PointConstrainer.java;PointConstrainer.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\framework\Tool.java;Tool.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\samples\javadraw\AnimationDecorator.java;AnimationDecorator.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\javadraw\Animator.java;Animator.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\javadraw\BouncingDrawing.java;BouncingDrawing.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\samples\javadraw\FollowURLTool.java;FollowURLTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\javadraw\JavaDrawViewer.java;JavaDrawViewer.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\samples\javadraw\MySelectionTool.java;MySelectionTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\javadraw\PatternPainter.java;PatternPainter.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\samples\net\NetApp.java;NetApp.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\net\NodeFigure.java;NodeFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\nothing\NothingApp.java;NothingApp.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\nothing\NothingApplet.java;NothingApplet.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\pert\PertApplet.java;PertApplet.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\pert\PertApplication.java;PertApplication.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\pert\PertDependency.java;PertDependency.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\pert\PertFigure.java;PertFigure.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\samples\pert\PertFigureCreationTool.java;PertFigureCreationTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\AbstractConnector.java;AbstractConnector.java;2;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\AbstractFigure.java;AbstractFigure.java;2;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\AbstractHandle.java;AbstractHandle.java;2;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\AbstractLocator.java;AbstractLocator.java;2;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\BoxHandleKit.java;BoxHandleKit.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\BufferedUpdateStrategy.java;BufferedUpdateStrategy.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\ChangeConnectionEndHandle.java;ChangeConnectionEndHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\ChangeConnectionHandle.java;ChangeConnectionHandle.java;2;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\ChangeConnectionStartHandle.java;ChangeConnectionStartHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\ChopBoxConnector.java;ChopBoxConnector.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\ConnectionHandle.java;ConnectionHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\ConnectionTool.java;ConnectionTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\CreationTool.java;CreationTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\DecoratorFigure.java;DecoratorFigure.java;2;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\DragTracker.java;DragTracker.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\EastHandle.java;EastHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\FigureChangeEventMulticaster.java;FigureChangeEventMulticaster.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\FigureEnumerator.java;FigureEnumerator.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\GridConstrainer.java;GridConstrainer.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\HandleTracker.java;HandleTracker.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\LocatorConnector.java;LocatorConnector.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\LocatorHandle.java;LocatorHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\NorthEastHandle.java;NorthEastHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\NorthHandle.java;NorthHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\NorthWestHandle.java;NorthWestHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\NullHandle.java;NullHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\OffsetLocator.java;OffsetLocator.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\RelativeLocator.java;RelativeLocator.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\ReverseFigureEnumerator.java;ReverseFigureEnumerator.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\SelectAreaTracker.java;SelectAreaTracker.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\SelectionTool.java;SelectionTool.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\SimpleUpdateStrategy.java;SimpleUpdateStrategy.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\SouthEastHandle.java;SouthEastHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\SouthHandle.java;SouthHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\SouthWestHandle.java;SouthWestHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\StandardDrawing.java;StandardDrawing.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\standard\TextHolder.java;TextHolder.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\standard\ToolButton.java;ToolButton.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\WestHandle.java;WestHandle.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\util\Animatable.java;Animatable.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\util\ColorEntry.java;ColorEntry.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\util\ColorMap.java;ColorMap.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\util\Filler.java;Filler.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\util\Geom.java;Geom.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\util\PaletteButton.java;PaletteButton.java;2;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\util\PaletteIcon.java;PaletteIcon.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\util\PaletteLayout.java;PaletteLayout.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\util\PaletteListener.java;PaletteListener.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\util\ReverseVectorEnumerator.java;ReverseVectorEnumerator.java;1;1;1;1;1;2;2;1;5
6JHotDraw;CH\ifa\draw\util\Storable.java;Storable.java;3;1;1;1;1;1;1;1;5
6JHotDraw;CH\ifa\draw\util\StorableInput.java;StorableInput.java;1;1;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\util\StorableOutput.java;StorableOutput.java;1;1;1;1;1;2;1;1;5
1QuickUML;uml\ui\ExportAction.java;ExportAction.java;2;2;1;1;1;2;1;2;3
1QuickUML;uml\ui\FileAction.java;FileAction.java;2;2;1;1;1;2;1;2;3
1QuickUML;diagram\tool\ClipboardTool.java;CutAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;diagram\tool\ClipboardTool.java;CopyAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;diagram\tool\ClipboardTool.java;PasteAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;diagram\tool\EditingTool.java;StartEditingAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;diagram\tool\EditingTool.java;StopEditingAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;diagram\tool\EditingTool.java;CancelEditingAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\QuickUML.java;QuitAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\QuickUML.java;AboutAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\BuildAction.java;BuildAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\BuildAction.java;BrowseAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\ColorAction.java;ColorAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;NewAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;CloseAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;OpenAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;SaveAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;ExportGIFAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;PrintAction.java;1;2;1;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;ScaledPrintAction.java;1;2;1;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;CopyAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;CutAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;PasteAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;ResizeAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;ToggleRefreshAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\FontAction.java;FontAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\JFontChooser.java;AcceptAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\JFontChooser.java;CancelAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\PrintableAction.java;PrintableAction.java;2;2;2;1;1;2;2;1;1
1QuickUML;uml\ui\ScaledPrintableAction.java;ScaledPrintableAction.java;2;2;1;1;1;2;1;1;1
1QuickUML;uml\ui\ToolPalette.java;ToggleRevertAction.java;1;2;2;1;1;2;1;1;1
1QuickUML;uml\ui\DiagramContainer.java;DiagramContainer.java;1;1;1;1;2;2;1;2;4
1QuickUML;diagram\Diagram.java;Diagram.java;1;1;1;1;1;2;2;2;3
1QuickUML;diagram\SelectionModel.java;SelectionModel.java;3;1;1;1;1;1;1;2;3
1QuickUML;diagram\shape\PolyLine2D.java;Iterator.java;1;1;1;1;1;2;2;2;3
1QuickUML;diagram\tool\ClipboardTool.java;ClipboardTool.java;1;1;1;1;1;2;1;2;3
1QuickUML;diagram\tool\EditingTool.java;EditingTool.java;1;1;1;1;1;2;1;2;3
1QuickUML;uml\builder\CodeBuilder.java;CodeBuilder.java;3;1;1;1;1;1;1;2;5
1QuickUML;uml\builder\Context.java;Context.java;1;1;1;1;1;2;1;2;3
1QuickUML;uml\ui\FileAction.java;SmartChooser.java;1;1;1;1;1;2;1;2;3
1QuickUML;uml\QuickUML.java;QuickUML.java;1;1;1;1;2;2;1;1;4
1QuickUML;uml\ui\JFontChooser.java;FontDialog.java;1;1;1;1;2;2;1;1;4
